[2020-08-02 05:13:00,529] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2020-08-02 05:13:06,513] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-08-02 05:13:06,579] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-08-02 05:18:31,368] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-08-02 05:18:31,434] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-08-02 05:18:32,590] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2020-08-02 05:18:32,591] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2020-08-02 05:18:32,592] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2020-08-02 05:18:32,592] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2020-08-02 05:18:54,578] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-08-02 05:18:54,645] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-07-18 09:31:01,835] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-07-18 09:31:01,896] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-07-18 09:44:27,694] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-07-18 09:44:27,751] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-07-18 09:44:28,796] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2020-07-18 09:44:28,796] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2020-07-18 09:44:28,796] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2020-07-18 09:44:28,796] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2020-07-18 09:44:39,274] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-07-18 09:44:39,331] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-07-18 09:44:40,177] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2020-07-18 09:44:40,177] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2020-07-18 09:44:40,177] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2020-07-18 09:44:40,177] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2020-07-18 09:44:52,770] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-07-18 09:44:52,828] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-07-18 09:47:11,630] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-07-18 09:47:11,687] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-07-18 09:47:12,534] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2020-07-18 09:47:12,534] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2020-07-18 09:47:12,535] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2020-07-18 09:47:12,535] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2020-07-18 09:47:17,512] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-07-18 09:47:17,569] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-07-18 09:47:18,416] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2020-07-18 09:47:18,416] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2020-07-18 09:47:18,417] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2020-07-18 09:47:18,417] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2020-07-18 09:47:25,229] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-07-18 09:47:25,286] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-07-18 09:47:26,336] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2020-07-18 09:47:26,336] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2020-07-18 09:47:26,337] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2020-07-18 09:47:26,337] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2020-07-18 09:47:32,393] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-07-18 09:47:32,451] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-07-18 09:54:17,724] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-07-18 09:54:17,782] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-07-18 09:54:18,634] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2020-07-18 09:54:18,634] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2020-07-18 09:54:18,634] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2020-07-18 09:54:18,635] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2020-07-18 09:54:23,612] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-07-18 09:54:23,670] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-07-18 09:54:24,719] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2020-07-18 09:54:24,719] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2020-07-18 09:54:24,720] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2020-07-18 09:54:24,720] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2020-07-18 09:54:29,416] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-07-18 09:54:29,473] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-07-18 09:54:30,519] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2020-07-18 09:54:30,520] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2020-07-18 09:54:30,520] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2020-07-18 09:54:30,520] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
